Postcode,Average net tax
3000,20458
3002,44063
3003,17485
3004,36287
3006,22507
3008,22530
3010,27860
3011,12864
3012,13052
3013,18141
3015,18748
3016,26502
3018,15550
3019,9041
3020,9338
3021,8679
3022,9581
3023,11775
3024,11129
3025,12679
3026,16984
3027,14214
3028,11315
3029,11311
3030,13818
3031,17139
3032,17989
3033,14490
3034,14326
3036,18716
3037,11868
3038,12862
3039,21119
3040,22210
3041,19050
3042,14090
3043,11946
3044,14606
3046,11401
3047,7823
3048,7806
3049,12209
3051,17434
3052,21095
3053,18408
3054,24618
3055,14866
3056,14870
3057,15206
3058,13637
3059,15102
3060,10524
3061,11539
3062,23184
3063,16698
3064,10419
3065,21996
3066,17676
3067,17889
3068,23594
3070,18602
3071,15282
3072,12879
3073,11112
3074,9304
3075,9316
3076,10217
3078,21793
3079,28293
3081,11170
3082,11052
3083,12188
3084,20203
3085,16069
3087,13256
3088,14492
3089,15646
3090,25220
3091,28087
3093,25573
3094,14650
3095,18927
3096,15462
3097,23688
3099,15982
3101,40110
3102,26556
3103,33969
3104,24878
3105,17950
3106,25025
3107,17350
3108,16127
3109,15835
3111,22044
3113,22477
3114,33787
3115,28014
3116,13709
3121,22848
3122,36514
3123,34618
3124,34686
3125,17173
3126,54251
3127,30100
3128,15733
3129,17855
3130,17976
3131,13960
3132,15362
3133,16541
3134,15490
3135,14097
3136,13380
3137,12060
3138,11904
3139,12020
3140,13430
3141,38258
3142,76598
3143,39149
3144,51062
3145,32164
3146,31675
3147,24328
3148,16738
3149,18075
3150,17920
3151,13997
3152,14114
3153,11230
3154,12113
3155,11200
3156,13508
3158,12751
3159,13480
3160,15729
3161,31818
3162,25018
3163,16938
3165,16271
3166,14586
3167,13377
3168,10968
3169,10085
3170,14068
3171,8458
3172,11478
3173,11249
3174,8682
3175,9241
3177,7804
3178,13932
3179,12658
3180,12408
3181,21615
3182,21124
3183,18285
3184,23761
3185,26514
3186,52828
3187,30387
3188,33820
3189,15376
3190,17466
3191,34333
3192,16112
3193,30415
3194,17567
3195,17241
3196,13597
3197,16788
3198,11090
3199,12300
3200,7988
3201,9860
3202,15838
3204,20377
3205,28883
3206,53940
3207,31905
3211,16359
3212,13640
3214,8731
3215,12410
3216,14000
3217,12346
3218,13982
3219,10742
3220,21656
3221,17820
3222,15336
3223,12504
3224,12188
3225,20460
3226,13823
3227,20250
3228,18695
3230,12973
3231,17048
3232,13629
3233,9075
3235,10457
3236,9327
3237,7665
3238,7642
3239,11330
3240,14009
3241,10850
3242,10528
3243,30507
3249,10805
3250,10320
3251,9777
3254,9350
3260,10519
3264,11803
3265,12560
3266,10600
3267,8870
3268,14725
3269,15894
3270,13633
3272,9669
3273,9354
3274,9115
3275,9793
3276,10666
3277,18515
3278,12026
3280,12357
3281,11777
3282,9988
3283,12169
3284,13777
3285,12295
3286,10808
3287,8437
3289,9634
3292,9636
3293,8735
3294,9752
3300,10690
3301,9477
3302,9826
3303,12000
3304,10711
3305,13557
3309,7373
3310,7891
3311,8427
3312,8094
3314,12891
3315,9758
3317,10177
3318,9729
3319,8735
3321,13554
3324,11038
3325,11538
3328,12240
3329,9670
3330,8027
3331,13446
3332,10944
3333,12465
3334,11514
3335,11054
3337,10788
3338,11021
3340,13317
3341,14961
3342,12696
3345,13641
3350,13480
3351,10580
3352,12488
3355,10866
3356,8370
3357,15353
3360,9291
3361,8911
3363,10688
3364,12730
3370,8642
3371,8868
3373,9273
3374,10748
3375,11263
3377,10134
3378,10729
3379,15149
3380,10734
3381,10697
3384,8334
3385,11875
3387,7408
3388,14934
3390,11815
3391,17021
3392,12181
3393,12118
3395,13800
3396,11931
3400,10775
3401,11859
3407,9239
3409,11680
3412,11228
3413,9543
3414,11229
3418,11136
3419,12010
3420,11748
3423,9299
3424,11162
3427,13273
3428,16170
3429,13039
3430,21082
3431,14294
3433,21179
3434,14785
3435,14338
3437,17598
3438,17645
3440,21223
3441,28016
3442,18472
3444,14766
3446,10222
3447,11153
3448,12217
3450,11120
3451,10866
3453,12811
3458,13535
3460,13217
3461,11516
3462,8996
3463,9988
3464,9071
3465,8382
3467,9703
3468,7526
3469,8957
3472,8366
3475,7186
3477,9767
3478,9254
3480,9763
3482,11069
3483,8956
3485,7950
3490,10510
3491,9634
3494,7466
3496,9212
3498,11394
3500,10540
3501,10914
3505,9482
3507,9839
3509,9842
3512,10251
3515,10974
3516,10070
3517,9147
3518,9934
3521,9712
3522,12095
3523,10720
3525,8571
3527,9626
3530,11212
3531,9656
3533,10204
3537,9259
3540,11659
3542,7419
3544,9681
3546,9522
3549,9887
3550,12599
3551,13172
3555,9643
3556,8916
3557,10643
3558,10483
3559,10104
3561,11039
3562,10858
3563,9284
3564,11148
3566,9363
3567,7976
3568,10379
3570,9486
3571,7666
3572,11328
3573,8316
3575,8321
3579,8823
3580,7577
3581,9264
3584,9263
3585,11301
3586,9120
3588,7139
3589,13831
3590,9870
3591,9680
3594,7860
3595,7223
3596,17959
3597,9234
3608,10592
3610,8504
3612,8946
3614,12782
3616,11607
3617,9169
3618,8230
3620,10144
3621,8616
3622,11670
3623,8712
3624,7293
3629,9289
3630,10683
3631,13241
3633,10059
3634,9475
3635,8182
3636,9287
3637,7909
3638,11160
3639,7795
3640,10123
3641,8915
3644,10443
3646,10093
3649,9404
3658,11595
3659,21806
3660,10391
3662,14371
3663,8926
3664,11602
3666,10524
3669,10820
3670,10354
3672,10282
3673,10961
3675,10259
3677,10761
3678,12555
3682,10980
3683,10111
3685,11171
3687,12389
3688,11604
3690,11291
3691,13020
3694,7450
3695,11463
3697,10830
3698,11486
3699,8721
3700,9371
3701,11405
3705,8749
3707,9543
3709,8673
3711,10572
3712,10381
3713,7804
3714,11091
3715,10212
3717,11577
3719,11367
3720,9269
3722,10693
3723,10379
3725,12053
3726,9573
3727,7082
3728,8426
3730,11664
3732,10053
3733,8057
3735,9411
3737,10536
3739,11591
3740,9803
3741,10646
3744,10399
3746,10278
3747,12057
3749,14045
3750,10949
3751,20706
3752,11767
3753,12376
3754,12853
3755,11264
3756,12036
3757,13010
3758,11763
3759,17332
3760,14115
3761,15394
3763,11047
3764,12748
3765,14697
3766,14529
3767,13592
3770,19646
3775,15502
3777,11485
3778,6977
3779,7169
3781,12364
3782,14551
3783,12960
3786,17450
3787,15206
3788,17153
3789,16498
3791,14419
3792,15323
3793,11119
3795,13124
3796,11711
3797,10673
3799,9021
3800,18500
3802,10717
3803,9716
3804,18797
3805,11165
3806,15593
3807,16343
3808,19995
3809,13081
3810,10810
3812,13259
3813,11764
3814,11186
3815,12902
3816,10650
3818,11020
3820,13204
3821,13940
3822,12456
3823,14490
3824,14537
3825,13422
3831,13120
3832,10458
3833,8148
3835,13689
3840,13303
3842,13027
3844,15879
3847,11568
3850,15430
3851,15899
3854,19320
3856,17239
3857,13224
3858,11531
3859,12256
3860,12686
3862,13205
3864,8895
3865,9771
3869,16406
3870,12450
3871,12841
3873,12854
3874,58933
3875,10441
3878,12936
3880,11621
3882,10731
3885,8843
3886,11928
3887,6978
3888,11119
3889,6540
3890,11859
3891,19371
3892,10252
3895,9315
3896,10597
3898,8734
3900,8751
3902,11431
3903,11767
3904,12991
3909,10467
3910,12090
3911,13143
3912,12647
3913,13835
3915,10965
3916,25517
3918,12178
3919,9128
3920,8734
3921,8944
3922,10720
3923,15473
3925,10423
3926,18308
3927,16002
3928,52864
3929,36866
3930,26561
3931,15028
3933,19871
3934,18036
3936,13696
3937,24384
3938,13412
3939,10747
3940,10728
3941,10830
3942,16984
3943,25241
3944,67601
3945,13182
3950,11049
3951,10007
3953,11764
3954,16258
3956,10572
3957,8807
3958,9125
3959,11744
3960,11499
3962,9686
3965,7720
3966,12948
3971,11051
3975,11419
3976,9110
3977,10883
3978,11967
3979,7631
3980,11341
3981,11672
3984,10642
3987,10966
3988,11431
3991,7044
3992,8582
3995,13949
3996,14043
